name,title,xpath,grid_name,parent_grid_name,type,widget,container,format,ignore_empty,ignore_autocalc_check,export_result,force_def_val,disabled,readonly,required,weight,allow_cyrillic,default_value,options,attributes,class,rows,minlength,maxlength,decimal_length,pattern,exclude_from_xml,extensions,max_size,tag
ENT_NAME,Denumirea completa a contribuabilului,dec/DataSet/Header/ENT_NAME,,,text,textfield,,,0,0,0,0,0,1,0,0,0,@agent_name,,,text,0,0,0,0,,0,,,
FISCCOD_FISC,Inspectoratul Fiscal de Stat pe r-nul (mun.),dec/DataSet/Header/FISCCOD_FISC,,,custom,select,%02d,%02d,0,0,0,0,0,0,1,1,0,@ifs,<?php return classifiers_get_list('ifs'); ?>,,text,0,2,2,0,,0,,,
CUATM,Codul localităţii (CUATM),dec/DataSet/Header/CUATM,,,custom,select,%04d,%04d,0,0,0,0,0,0,1,2,0,@cuatm,<?php return classifiers_get_list('cuatm'); ?>,,,0,4,4,0,,0,,,
CAEM,Activitatea principală,dec/DataSet/Header/CAEM,,,custom,select,,,0,0,0,0,0,0,1,13,0,@cuiio_caem_code,<?php return declarations_get_caem_list('vocabulary_18'); ?>,,text,0,0,300,0,,0,,,
STREET,Strada,dec/DataSet/Header/STREET,,,text,textfield,,,0,0,0,0,0,0,0,3,0,@address,,,,0,0,100,0,,0,,,
STREET_NR,Nr casei,dec/DataSet/Header/STREET_NR,,,text,textfield,,,0,0,0,0,0,0,0,4,0,,,,,0,0,100,0,,0,,,
CUIIO,Codul CUIÎO,dec/DataSet/Header/CUIIO,,,text,textfield,,,0,0,0,0,0,0,1,5,0,@cuiio,,,,0,5,13,0,,0,,,
IDNO,Codul fiscal,dec/DataSet/Header/IDNO,,,text,textfield,,,0,0,0,0,1,0,1,6,0,@fisccode,,,text,0,0,15,0,,0,,,
HEAD,Conducătorul,dec/DataSet/Header/HEAD,,,text,textfield,,textfield,0,0,0,0,0,0,0,7,0,,,,text,0,0,0,0,,0,,,
EXECUTOR,Executant,dec/DataSet/Header/EXECUTOR,,,text,textfield,,,0,0,0,0,0,0,0,8,0,@full_name,,,,0,0,0,0,,0,,,
PHONE,Numar telefon,dec/DataSet/Header/PHONE,,,text,textfield,,,0,0,0,0,0,0,0,9,0,@cuiio_telefon,,,,0,0,12,0,,0,,,
EMAIL,E-mail,dec/DataSet/Header/EMAIL,,,text,textfield,,,0,0,0,0,0,0,0,10,0,@email,,,text,0,0,60,0,,0,,,
nalogPeriodLetter,,dec/DataSet/Header/nalogPeriodLetter,,,period_type,hidden,,,0,0,0,0,0,0,0,0,0,A,,,,0,0,0,0,,0,,,
nalogPeriodType,nalogPeriodType,dec/DataSet/Header/nalogPeriodType,,,period,hidden,,,0,0,0,0,0,0,1,79,0,@last_year_period,,,text,0,0,0,0,,0,,,
YEAR,Perioada fiscală,dec/DataSet/Header/YEAR,,,period_year,select,,,0,0,0,0,0,0,0,18,0,@last_year_period,,,,0,0,0,0,,0,,,
CAPITOL1_R110_C1,Capitol 1 Rînd. 110 col.1,dec/DataSet/Data/CAPITOL1_R110_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
CAPITOL1_R111_C1,Capitol 1 Rînd. 111 col.1,dec/DataSet/Data/CAPITOL1_R111_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
CAPITOL1_R112_C1,Capitol 1 Rînd. 112 col.1,dec/DataSet/Data/CAPITOL1_R112_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
CAPITOL1_R113_C1,Capitol 1 Rînd. 113 col.1,dec/DataSet/Data/CAPITOL1_R113_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
CAPITOL1_R120_C1,Capitol 1 Rînd. 120 col.1,dec/DataSet/Data/CAPITOL1_R120_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
CAPITOL1_R130_C1,Capitol 1 Rind.130 da,dec/DataSet/Data/CAPITOL1_R130_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R130_C2,Capitol 1 Rind.130 nu,dec/DataSet/Data/CAPITOL1_R130_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R140_C1,Capitol 1 Rind.140 da,dec/DataSet/Data/CAPITOL1_R140_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R140_C2,Capitol 1 Rind.140 nu,dec/DataSet/Data/CAPITOL1_R140_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R141_C1,Capitol 1 Rînd. 141 col.1,dec/DataSet/Data/CAPITOL1_R141_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
CAPITOL1_R150_C1,Capitol 1 Rind.150 da,dec/DataSet/Data/CAPITOL1_R150_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R150_C2,Capitol 1 Rind.150 nu,dec/DataSet/Data/CAPITOL1_R150_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R161_C1,Capitol 1 Rind.161 da,dec/DataSet/Data/CAPITOL1_R161_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R162_C1,Capitol 1 Rind.162 da,dec/DataSet/Data/CAPITOL1_R162_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R163_C1,Capitol 1 Rind.163 da,dec/DataSet/Data/CAPITOL1_R163_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R164_C1,Capitol 1 Rind.164 da,dec/DataSet/Data/CAPITOL1_R164_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL1_R165_C1,Capitol 1 Rind.165 da,dec/DataSet/Data/CAPITOL1_R165_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R210_C1,Capitol 2 Rind.210 da,dec/DataSet/Data/CAPITOL2_R210_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R210_C2,Capitol 2 Rind.210 nu,dec/DataSet/Data/CAPITOL2_R210_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R211_C1,Capitol 2 Rind.211 da,dec/DataSet/Data/CAPITOL2_R211_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R211_C2,Capitol 2 Rind.211 nu,dec/DataSet/Data/CAPITOL2_R211_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R212_C1,Capitol 2 Rind.212 da,dec/DataSet/Data/CAPITOL2_R212_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R212_C2,Capitol 2 Rind.212 nu,dec/DataSet/Data/CAPITOL2_R212_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R213_C1,Capitol 2 Rind.213 da,dec/DataSet/Data/CAPITOL2_R213_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R213_C2,Capitol 2 Rind.213 nu,dec/DataSet/Data/CAPITOL2_R213_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R214_C1,Capitol 2 Rind.214 da,dec/DataSet/Data/CAPITOL2_R214_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R214_C2,Capitol 2 Rind.214 nu,dec/DataSet/Data/CAPITOL2_R214_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R215_C1,Capitol 2 Rind.215 da,dec/DataSet/Data/CAPITOL2_R215_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R215_C2,Capitol 2 Rind.215 nu,dec/DataSet/Data/CAPITOL2_R215_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R216_C1,Capitol 2 Rind.216 da,dec/DataSet/Data/CAPITOL2_R216_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R216_C2,Capitol 2 Rind.216 nu,dec/DataSet/Data/CAPITOL2_R216_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R217_C1,Capitol 2 Rind.217 da,dec/DataSet/Data/CAPITOL2_R217_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R217_C2,Capitol 2 Rind.217 nu,dec/DataSet/Data/CAPITOL2_R217_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R218_C1,Capitol 2 Rind.218 da,dec/DataSet/Data/CAPITOL2_R218_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R218_C2,Capitol 2 Rind.218 nu,dec/DataSet/Data/CAPITOL2_R218_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R220_C1,Capitol 2 Rind.220 da,dec/DataSet/Data/CAPITOL2_R220_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL2_R220_C2,Capitol 2 Rind.220 nu,dec/DataSet/Data/CAPITOL2_R220_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R310_C1,Capitol 3 Rind.310 da,dec/DataSet/Data/CAPITOL3_R310_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R310_C2,Capitol 3 Rind.310 nu,dec/DataSet/Data/CAPITOL3_R310_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R321_C1,Capitol 3 Rind.321 da,dec/DataSet/Data/CAPITOL3_R321_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R321_C2,Capitol 3 Rind.321 nu,dec/DataSet/Data/CAPITOL3_R321_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R322_C1,Capitol 3 Rind.322 da,dec/DataSet/Data/CAPITOL3_R322_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R322_C2,Capitol 3 Rind.322 nu,dec/DataSet/Data/CAPITOL3_R322_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R323_C1,Capitol 3 Rind.323 da,dec/DataSet/Data/CAPITOL3_R323_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R323_C2,Capitol 3 Rind.323 nu,dec/DataSet/Data/CAPITOL3_R323_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R324_C1,Capitol 3 Rind.324 da,dec/DataSet/Data/CAPITOL3_R324_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R324_C2,Capitol 3 Rind.324 nu,dec/DataSet/Data/CAPITOL3_R324_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R325_C1,Capitol 3 Rind.325 da,dec/DataSet/Data/CAPITOL3_R325_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R325_C2,Capitol 3 Rind.325 nu,dec/DataSet/Data/CAPITOL3_R325_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R326_C1,Capitol 3 Rind.326 da,dec/DataSet/Data/CAPITOL3_R326_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R326_C2,Capitol 3 Rind.326 nu,dec/DataSet/Data/CAPITOL3_R326_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R327_C1,Capitol 3 Rind.327 da,dec/DataSet/Data/CAPITOL3_R327_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R327_C2,Capitol 3 Rind.327 nu,dec/DataSet/Data/CAPITOL3_R327_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R328_C1,Capitol 3 Rind.328 da,dec/DataSet/Data/CAPITOL3_R328_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R328_C2,Capitol 3 Rind.328 nu,dec/DataSet/Data/CAPITOL3_R328_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R329_C1,Capitol 3 Rind.329 da,dec/DataSet/Data/CAPITOL3_R329_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R329_C2,Capitol 3 Rind.329 nu,dec/DataSet/Data/CAPITOL3_R329_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R330_C1,Capitol 3 Rind.330 da,dec/DataSet/Data/CAPITOL3_R330_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL3_R330_C2,Capitol 3 Rind.330 nu,dec/DataSet/Data/CAPITOL3_R330_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R410_C1,Capitol 4 Rind.410 da,dec/DataSet/Data/CAPITOL4_R410_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R410_C2,Capitol 4 Rind.410 nu,dec/DataSet/Data/CAPITOL4_R410_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R411_C1,Capitol 4 Rind.411 da,dec/DataSet/Data/CAPITOL4_R411_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R411_C2,Capitol 4 Rind.411 nu,dec/DataSet/Data/CAPITOL4_R411_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R412_C1,Capitol 4 Rind.412 da,dec/DataSet/Data/CAPITOL4_R412_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R412_C2,Capitol 4 Rind.412 nu,dec/DataSet/Data/CAPITOL4_R412_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R413_C1,Capitol 4 Rind.413 da,dec/DataSet/Data/CAPITOL4_R413_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R413_C2,Capitol 4 Rind.413 nu,dec/DataSet/Data/CAPITOL4_R413_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R414_C1,Capitol 4 Rind.414 da,dec/DataSet/Data/CAPITOL4_R414_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R414_C2,Capitol 4 Rind.414 nu,dec/DataSet/Data/CAPITOL4_R414_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R415_C1,Capitol 4 Rind.415 da,dec/DataSet/Data/CAPITOL4_R415_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R415_C2,Capitol 4 Rind.415 nu,dec/DataSet/Data/CAPITOL4_R415_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R420_C1,Capitol 4 Rind.420 da,dec/DataSet/Data/CAPITOL4_R420_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL4_R420_C2,Capitol 4 Rind.420 nu,dec/DataSet/Data/CAPITOL4_R420_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL5_R511_C1,Capitol 5 Rind.511 da,dec/DataSet/Data/CAPITOL5_R511_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL5_R511_C2,Capitol 5 Rind.511 nu,dec/DataSet/Data/CAPITOL5_R511_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL5_R512_C1,Capitol 5 Rind.512 da,dec/DataSet/Data/CAPITOL5_R512_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL5_R512_C2,Capitol 5 Rind.512 nu,dec/DataSet/Data/CAPITOL5_R512_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL5_R520_C1,Capitol 5 Rind. 520 col.1,dec/DataSet/Data/CAPITOL5_R520_C1,,,numeric,textfield,,,0,0,0,0,0,0,0,14,0,,,,table number,0,0,20,0,,0,,,
